cell_key,microns_root_id
N:460273,864691135298300341
N:496089,864691136966038990
N:460021,864691135697368597
N:67645,864691135134699289
N:525850,864691136419445655
N:463677,864691135491893087
N:555260,864691135059372955
N:431932,864691135865217406
N:553163,864691135925740291
N:493905,864691135848874846
N:553518,864691135468966994
N:554886,864691136137107837
N:106279,864691135374853939
N:44743,864691135773268815
N:463207,864691136378227614
N:778162,864691135766863184
N:521850,864691135890602377
N:554198,864691135509598985
N:521466,864691136124717350
N:556073,864691136551502498
N:431514,864691135467990924
N:70505,864691136289952228
N:109238,864691134918382858
N:38933,864691136098359010
N:114507,864691136423553583
N:532602,864691136424216623
N:112654,864691135055598636
N:496132,864691136236664847
N:457121,864691135858491438
N:459004,864691136959717916
N:458272,864691135858491438
N:113666,864691135394441973
N:458237,864691135876950867
N:561103,864691135654592450
N:458124,864691135222676665
N:503252,864691135523217765
N:6514,864691135841854896
N:560597,864691135533292530
N:425659,864691135273246481
N:41847,864691135784249694
N:455311,864691135659791543
N:41712,864691135762303870
N:112111,864691135358805848
N:562253,864691135503225013
N:560343,864691135999702947
N:425663,864691136174993670
N:496970,864691136894857582
N:562388,864691135689065108
N:41506,864691135938504245
N:362321,864691135684301810
N:537697,864691135997221578
N:535651,864691135584775922
N:495893,864691135488328946
N:339246,864691135113288857
N:296516,864691136953944031
N:329298,864691136602629841
N:677994,864691135858491438
N:623992,864691135865495173
N:496830,864691135698243994
N:359188,864691136729302390
N:664490,864691135537157595
N:485184,864691136604188881
N:334296,864691135385805510
N:636703,864691135937322244
N:335650,864691135594644267
N:275964,864691135341307845
N:382336,864691136023977890
N:255373,864691135858491438
N:377792,864691135575091230
N:699717,864691135509638409
N:256769,864691136312509530
N:361607,864691135455264362
N:672214,864691136004788682
N:269361,864691135315018003
N:648452,864691136217266878
N:504081,864691134838431249
N:371814,864691135256595119
N:328162,864691135971660133
N:269201,864691135858491438
N:700090,864691136672925949
N:256572,864691136276465421
N:499820,864691135303545767
N:258171,864691136925008100
N:359280,864691135848822622
N:324286,864691135918811056
N:674736,864691135746977065
N:687266,864691135954240776
N:608200,864691135498044435
N:61607,864691135646026643
N:367409,864691136176161798
N:527446,864691135341341381
N:291326,864691135398817569
N:295491,864691135576508356
N:226578,864691135776551520
N:32723,864691135326547806
N:360517,864691136287521219
N:330855,864691135622571700
N:767132,864691135864956158
N:490758,864691135858491438
N:623649,864691135407730377
N:271098,864691136577469204
N:255803,864691135464461125
N:624422,864691135257103533
N:535240,864691135382981338
N:273091,864691135954514952
N:260604,864691136006493898
N:491858,864691135925757710
N:323495,864691135501998658
N:624891,864691135077706528
N:300289,864691136913297137
N:41507,864691135415489978
N:290959,864691135410624754
N:257655,864691135395447029
N:653940,864691135850427335
N:332970,864691135732630969
N:495484,864691135012425974
N:245175,864691134684596063
N:454085,864691136085291700
N:496184,864691135135384834
N:487903,864691135223138569
N:261688,864691136702024302
N:362390,864691135989811848
N:494050,864691137020972910
N:531668,864691135655143106
N:376042,864691135070787619
N:261334,864691135571653157
N:533098,864691136812767347
N:261527,864691135937155588
N:261748,864691135214499896
N:605197,864691134966101145
N:381328,864691136156961233
N:488287,864691135394670837
N:298212,864691136435961479
N:258063,864691135851603655
N:294178,864691134940513635
N:501790,864691134988920442
N:624000,864691136990296213
N:292358,864691136579756308
N:494202,864691134964468255
N:275874,864691135608457577
N:538314,864691135590260235
N:486555,864691135416660154
N:260934,864691135946298660
N:631520,864691134879165698
N:230387,864691135374702153
N:374507,864691135396413729
N:674748,864691135704902102
N:278649,864691135477010930
N:379596,864691135724569003
N:620992,864691136036160152
N:334057,864691135807725853
N:622874,864691135774792477
N:382356,864691134898174028
N:350668,864691135240379140
N:499907,864691135693632959
N:374951,864691135910402657
N:534429,864691135858491438
N:465504,864691136011386275
N:376992,864691136439759734
N:284853,864691135766680168
N:503344,864691134964690463
N:526575,864691135360000344
N:500037,864691136389089296
N:496501,864691136974041116
N:453682,864691135491585767
N:459681,864691135307563334
N:365986,864691135195882282
N:672971,864691136618106843
N:67298,864691135447455316
N:174182,864691135338704358
N:8053,864691136131075537
N:109069,864691135939395329
N:133098,864691134257650337
N:291040,864691135420969477
N:589633,864691136100703605
N:69592,864691134989471500
N:107215,864691137053935478
N:110368,864691134907094703
N:559309,864691135654592450
N:173416,864691135433210324
N:173451,864691136123763494
N:110146,864691135143503218
N:558076,864691135367945977
N:110003,864691136437250718
N:137540,864691136296698139
N:106640,864691135941171828
N:177252,864691135864427390
N:459639,864691135443840202
N:137112,864691136105748953
N:591554,864691136056790232
N:421578,864691136209565372
N:564505,864691135841924323
N:106421,864691136195026664
N:420360,864691135800991586
N:738286,864691135783578710
N:461373,864691135561852641
N:659523,864691135865903749
N:583794,864691135213481272
N:396716,864691135586381944
N:426495,864691136274181645
N:126259,864691135111749534
N:326051,864691135969748325
N:165593,864691135576659535
N:113809,864691136137351293
N:164962,864691136089213827
N:127120,864691136287300035
N:582968,864691135687896288
N:458271,864691135726295871
N:581978,864691135858491438
N:562333,864691132887223504
N:582212,864691136123737638
N:164998,864691135454051178
N:161563,864691135516771027
N:164233,864691135502663005
N:581560,864691135122627879
N:164626,864691136811385966
N:112091,864691135759255886
N:583133,864691136274448141
N:530454,864691134657069171
N:559944,864691135009935448
N:586571,864691136027013670
N:128389,864691135719644495
